Geography_3,Geography_3_description,Geography_2,Geography_2_description,Geography_1,Geography_1_description,Metric_description,Product_description,Time_2,Time_2_description,Time_1,Time_1_description,value
Asia_Reserve_3,<Reserve>,Asia,Asia,Global,Global,Revenue,Electronics,2023_Reserve_2,<Reserve>,2023,2023,-9692.989999999998
JA,Japan,Asia,Asia,Global,Global,Revenue,Electronics,2023_Reserve_2,<Reserve>,2023,2023,9692.99
N-AM_Reserve_3,<Reserve>,N-AM,North America,Global,Global,Revenue,Electronics,2023_Reserve_2,<Reserve>,2023,2023,-2730.24
US,United States,N-AM,North America,Global,Global,Revenue,Electronics,2023_Reserve_2,<Reserve>,2023,2023,2730.2399999999993
Asia_Reserve_3,<Reserve>,Asia,Asia,Global,Global,Revenue,Electronics,Dec,Dec,2023,2023,1960.9399999999996
CAN,Canada,N-AM,North America,Global,Global,Revenue,Electronics,Dec,Dec,2023,2023,1658.12
CH,China,Asia,Asia,Global,Global,Revenue,Electronics,Dec,Dec,2023,2023,2178.0
Europe_Reserve_3,<Reserve>,Europe,Europe,Global,Global,Revenue,Electronics,Dec,Dec,2023,2023,1263.67
GER,Germany,Europe,Europe,Global,Global,Revenue,Electronics,Dec,Dec,2023,2023,2855.49
N-AM_Reserve_3,<Reserve>,N-AM,North America,Global,Global,Revenue,Electronics,Dec,Dec,2023,2023,2730.24
Asia_Reserve_3,<Reserve>,Asia,Asia,Global,Global,Revenue,Electronics,Nov,Nov,2023,2023,2698.36
CAN,Canada,N-AM,North America,Global,Global,Revenue,Electronics,Nov,Nov,2023,2023,2703.43
CH,China,Asia,Asia,Global,Global,Revenue,Electronics,Nov,Nov,2023,2023,3306.57
Europe_Reserve_3,<Reserve>,Europe,Europe,Global,Global,Revenue,Electronics,Nov,Nov,2023,2023,1916.3999999999996
GER,Germany,Europe,Europe,Global,Global,Revenue,Electronics,Nov,Nov,2023,2023,4916.06
US,United States,N-AM,North America,Global,Global,Revenue,Electronics,Nov,Nov,2023,2023,2644.32
Asia_Reserve_3,<Reserve>,Asia,Asia,Global,Global,Revenue,Electronics,Oct,Oct,2023,2023,2447.4999999999995
CAN,Canada,N-AM,North America,Global,Global,Revenue,Electronics,Oct,Oct,2023,2023,2515.77
CH,China,Asia,Asia,Global,Global,Revenue,Electronics,Oct,Oct,2023,2023,3350.69
Europe_Reserve_3,<Reserve>,Europe,Europe,Global,Global,Revenue,Electronics,Oct,Oct,2023,2023,1224.7199999999993
GER,Germany,Europe,Europe,Global,Global,Revenue,Electronics,Oct,Oct,2023,2023,4545.81
US,United States,N-AM,North America,Global,Global,Revenue,Electronics,Oct,Oct,2023,2023,4203.08
Asia_Reserve_3,<Reserve>,Asia,Asia,Global,Global,Revenue,Electronics,Sep,Sep,2023,2023,2586.1899999999996
CAN,Canada,N-AM,North America,Global,Global,Revenue,Electronics,Sep,Sep,2023,2023,1974.44
CH,China,Asia,Asia,Global,Global,Revenue,Electronics,Sep,Sep,2023,2023,2793.71
Europe_Reserve_3,<Reserve>,Europe,Europe,Global,Global,Revenue,Electronics,Sep,Sep,2023,2023,1389.6100000000001
GER,Germany,Europe,Europe,Global,Global,Revenue,Electronics,Sep,Sep,2023,2023,3241.39
US,United States,N-AM,North America,Global,Global,Revenue,Electronics,Sep,Sep,2023,2023,3102.7
CAN,Canada,N-AM,North America,Global,Global,Revenue,Electronics,Apr,Apr,2023,2023,1291.62
CH,China,Asia,Asia,Global,Global,Revenue,Electronics,Apr,Apr,2023,2023,2095.02
Europe_Reserve_3,<Reserve>,Europe,Europe,Global,Global,Revenue,Electronics,Apr,Apr,2023,2023,1461.0
GER,Germany,Europe,Europe,Global,Global,Revenue,Electronics,Apr,Apr,2023,2023,2077.79
JA,Japan,Asia,Asia,Global,Global,Revenue,Electronics,Apr,Apr,2023,2023,1300.54
US,United States,N-AM,North America,Global,Global,Revenue,Electronics,Apr,Apr,2023,2023,4108.85
CAN,Canada,N-AM,North America,Global,Global,Revenue,Electronics,Aug,Aug,2023,2023,1941.74
CH,China,Asia,Asia,Global,Global,Revenue,Electronics,Aug,Aug,2023,2023,2059.42
Europe_Reserve_3,<Reserve>,Europe,Europe,Global,Global,Revenue,Electronics,Aug,Aug,2023,2023,1388.8400000000006
GER,Germany,Europe,Europe,Global,Global,Revenue,Electronics,Aug,Aug,2023,2023,3831.72
JA,Japan,Asia,Asia,Global,Global,Revenue,Electronics,Aug,Aug,2023,2023,1314.95
US,United States,N-AM,North America,Global,Global,Revenue,Electronics,Aug,Aug,2023,2023,1759.84
CAN,Canada,N-AM,North America,Global,Global,Revenue,Electronics,Feb,Feb,2023,2023,2161.06
CH,China,Asia,Asia,Global,Global,Revenue,Electronics,Feb,Feb,2023,2023,3005.72
Europe_Reserve_3,<Reserve>,Europe,Europe,Global,Global,Revenue,Electronics,Feb,Feb,2023,2023,1143.7300000000002
GER,Germany,Europe,Europe,Global,Global,Revenue,Electronics,Feb,Feb,2023,2023,1657.55
JA,Japan,Asia,Asia,Global,Global,Revenue,Electronics,Feb,Feb,2023,2023,2820.51
